auteur_1_nom;auteur_1_prenom_1;auteur_1_prenom_2;auteur_1_prenom_3;auteur_2_nom;auteur_2_prenom_1;auteur_2_prenom_2;auteur_2_prenom_3;auteur_3_nom;auteur_3_prenom_1;auteur_3_prenom_2;auteur_3_prenom_3;auteur_4_nom;auteur_4_prenom_1;auteur_4_prenom_2;auteur_4_prenom_3;auteur_5_nom;auteur_5_prenom_1;auteur_5_prenom_2;auteur_5_prenom_3;annee;mois;nature;titre;titre_original;edition_annee;edition_num;volume_num1;volume_num2;langue_originale;langue_ouvrage;traducteur_1_nom;traducteur_1_prenom_1;traducteur_1_prenom_2;Traducteur_2_nom;Traducteur_2_prenom_1;Traducteur_2_prenom_2;Traducteur_3_nom;Traducteur_3_prenom_1;Traducteur_3_prenom_2;ville_de_publication;etat_de_publication;pays_de_publication;maison_d_edition;possession;possession_desiree;format;qualite;domaine_1;domaine_2;domaine_3;domaine_4;domaine_5;mot_cles_1;mot_cles_2;mot_cles_3;mot_cles_4;mot_cles_5;mot_cles_6;mot_cles_7;mot_cles_8;mot_cles_9;mot_cles_10;Recueil_auteur_1;Recueil_auteur_2;Recueil_auteur_3;Recueil_auteur_4;Recueil_auteur_5;Recueil_auteur_6;Recueil_auteur_7;Recueil_auteur_8;Recueil_auteur_9;Recueil_auteur_10;Recueil_auteur_11;Recueil_auteur_12;Recueil_auteur_13;Recueil_auteur_14;Recueil_auteur_15;Preface_auteur;pourcentage_lecture_Claire;pourcentage_etude_Claire;pourcentage_lecture_Florent;pourcentage_etude_Florent;Nombres_de_citations;emplacement_1;emplacement_2;
Heisenberg;Werner;;;;;;;;;;;;;;;;;;;1930;;Livre;The physical principles of the quantum theory;;1949;;;;allemand;anglais;Eckart;Carl;;Hoyt;Frank;C.;;;;Chicago;Illinois;Etats Unis;Dover;Oui;;Livre;A;Physique;;;;;Quantum theory;physique quantique;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
Dirac;Paul;Adrien;Maurice;;;;;;;;;;;;;;;;;1964;;Livre;Lectures on quantum mechanics;Lectures on quantum mechanics;2001;;;;anglais;anglais;;;;;;;;;;New York;;Etats Unis;Dover;Oui;;Livre;A;Physique;;;;;Quantum mechanics;mecanique quantique;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
Einstein;Albert;;;Lorentz;H.;A.;;Minkowski;Hermann;;;Weyl;H.;;;Sommerfeld;A.;;;1923;;Livre;The principle of relativity;;1952;;;;allemand;anglais;Perrett;W.;;Jeffery;G.;B.;;;;;;;Dover;Oui;;Livre;A;Physique;;;;;Special relativity;Relativite restreinte;General relativity;Relativite generale;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
Van Der Waerden;B.;L.;;;;;;;;;;;;;;;;;;1967;;Recueil d'articles;Sources of quantum mechanics;;2007;;;;;anglais;;;;;;;;;;Amsterdam;;Pays Bas;Dover;Oui;;Livre;A;Physique;;;;;Quantum mechanics;mecanique quantique;;;;;;;;;Einstein;Ehrenfest;Bohr;Ladenburg;Kramers;Slater;Born;Van Vleck;Heisenberg;Kuhn;Jordan;Dirac;Pauli;;;;0;0;0;0;;;;
Boyer;Carl;B.;;;;;;;;;;;;;;;;;;1956;;Livre;History of analytic geometry;;2004;;;;;anglais;;;;;;;;;;New York;;Etats Unis;Dover;Oui;;Livre;A;Mathematique;Histoire des mathematiques;;;;Analytic geometry;Geometrie analytique;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
Boyer;Carl;B.;;;;;;;;;;;;;;;;;;1949;;Livre;The history of the calculus and its conceptual development;The concepts of the calculus, a critical and historical discussion of the derivative and the integral;1959;;;;anglais;anglais;;;;;;;;;;;;Etats Unis;Dover;Oui;;Livre;A;Mathematique;Histoire des mathematiques;;;;Calculus;Derivative;Integral;Derivation;Integration;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
Boyer;Carl;B.;;Merzbach;Uta;C.;;;;;;;;;;;;;;1968;;Livre;A history of mathematics;;2011;3;;;anglais;anglais;;;;;;;;;;Hoboken;New Jersey;Etats Unis;Wiley;Oui;;Livre;A;Mathematique;Histoire des mathematiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Asimov;1;0;0;0;;;;
Appel;Walter;;;;;;;;;;;;;;;;;;;2008;;Livre;Mathematique pour la physique et les physiciens;;;3;;;francais;francais;;;;;;;;;;Paris;;France;H&K;Oui;;Livre;A;Mathematique;Physique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;;;;
Verne;Jules;Gabriel;;;;;;;;;;;;;;;;;;1864;;Roman;Voyage au centre de la terre;;;;;;francais;;;;;;;;;;;;;;;Oui;;Liseuse;B;Aventure;Vulgarisation scientifique;;;;Appareils de Ruhmkorff;;;;;;;;;;;;;;;;;;;;;;;;;;100;0;100;0;2;;;
Verne;Jules;Gabriel;;;;;;;;;;;;;;;;;;1870;;Roman;20 mille lieues sous les mers;;;;;;francais;;;;;;;;;;;;;;;Oui;;Liseuse;B;Aventure;Vulgarisation scientifique;;;;Appareils de Ruhmkorff;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;100;0;;;;
Verne;Jules;Gabriel;;;;;;;;;;;;;;;;;;1865;;Roman;De la terre a la lune;;;;;;francais;;;;;;;;;;;;;;;Oui;;Liseuse;;Aventure;Vulgarisation scientifique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;
£;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/08/2018
